url,scientist_name,year,Rank Based on Composite Score (Self-Citations Excluded),Rank Based on Composite Score (All),Total Cites (Self-Citations Excluded),Total Cites (All),H-index (Self-Citations Excluded),H-index (All),Hm-index (Self-Citations Excluded),Hm-index (All),Number of Single Authored Papers (Self-Citations Excluded),Number of Single Authored Papers (All),Total Cites to Single Authored Papers (Self-Citations Excluded),Total Cites to Single Authored Papers (All),Number of Single+First Authored Papers (Self-Citations Excluded),Number of Single+First Authored Papers (All),Total Cites to Single+First Authored Papers (Self-Citations Excluded),Total Cites to Single+First Authored Papers (All),Number of Single+First+Last Authored Papers (Self-Citations Excluded),Number of Single+First+Last Authored Papers (All),Total Cites to Single+First+Last Authored Papers (Self-Citations Excluded),Total Cites to Single+First+Last Authored Papers (All),Composite Score (Self-Citations Excluded),Composite Score (All),Number of Distinct Citing Papers (Self-Citations Excluded),Number of Distinct Citing Papers (All),Ratio of Total Citations to Distinct Citing Papers (Self-Citations Excluded),Ratio of Total Citations to Distinct Citing Papers (All),Self-Citation Percentage,inst_name
"https://topscinet.com/scientist_profile/Campo,%20Antonio/1973/?stype=single_year","Campo, Antonio",2021,214460,208524,411,440,8,8,4,4,32,32,9,13,158,158,41,52,294,294,346,371,2,2,379,402,1.08,1.09,6.59,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Campo,%20Antonio/1973/?stype=single_year","Campo, Antonio",2022,269790,266742,244,260,6,6,3,3,34,34,6,8,163,163,25,30,304,304,197,211,2,2,221,229,1.1,1.14,6.15,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Cornejo,%20Pablo/2004/?stype=single_year","Cornejo, Pablo",2022,250514,199930,411,548,11,12,4,5,0,0,0,0,10,10,34,48,44,44,158,230,2,2,363,400,1.13,1.37,25.0,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Cornejo,%20Pablo/2004/?stype=single_year","Cornejo, Pablo",2023,175030,160452,592,732,14,15,5,6,0,0,0,0,10,10,37,44,50,50,248,313,2,2,511,546,1.16,1.34,19.13,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Cornejo,%20Pablo/2004/?stype=single_year","Cornejo, Pablo",2024,145209,138026,694,830,14,15,6,6,0,0,0,0,10,10,40,48,56,56,308,365,2,2,615,656,1.13,1.27,16.39,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/García,%20José/2014/?stype=single_year","García, José",2022,259403,204993,180,263,9,11,4,4,0,0,0,0,16,16,116,175,22,22,145,208,2,2,62,77,2.9,3.42,31.56,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Herrera,%20Ramón/1995/?stype=single_year","Herrera, Ramón",2021,205628,194704,217,263,7,8,4,5,9,9,28,30,32,32,94,98,59,59,118,132,2,2,109,129,1.99,2.04,17.49,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Illanes,%20Andrés/1978/?stype=single_year","Illanes, Andrés",2020,61295,44082,451,596,9,11,5,7,18,18,40,48,59,59,112,136,118,118,285,374,2,3,310,344,1.45,1.73,24.33,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Illanes,%20Andrés/1978/?stype=single_year","Illanes, Andrés",2021,60673,47274,635,816,11,13,6,8,19,19,44,50,61,61,138,162,124,124,414,528,3,3,441,484,1.44,1.69,22.18,Pontificia Universidad Católica de Valparaíso
"https://topscinet.com/scientist_profile/Illanes,%20Andrés/1978/?stype=single_year","Illanes, Andrés",2022,52612,45281,466,566,10,11,5,6,19,19,32,34,62,62,103,116,126,126,308,366,2,3,318,337,1.47,1.68,17.67,Pontificia Universidad Católica de Valparaíso
